<!DOCTYPE html PUBLIC "-//W3C//DTD HTML 4.0 Transitional//EN" "http://www.w3.org/TR/REC-html40/loose.dtd">
<html><body><p>[23.10.2016 | 17:21:40] &gt; [Mute]Ludwik &gt; VerteN: caps off [3 min.]
[23.10.2016 | 17:43:11] &gt; VIP[RLG]: Banderas &gt; Banderas
[23.10.2016 | 17:43:20] &gt; VIP[RLG]: Banderas &gt; Ryszard
[23.10.2016 | 17:44:26] &gt; [Mute]cR34tive &gt; [PTS]Zyrafa: flood [5 min.]
[23.10.2016 | 17:45:01] &gt; [Mute][PTS]FeasT &gt; xXx_BvO007_xXx: caps [3 min.]
[23.10.2016 | 17:47:14] &gt; *[Spec]cR34tive &gt; zidan
[23.10.2016 | 17:49:55] &gt; Ban Konto: cR34tive &gt; 723345: zmien nick
[23.10.2016 | 17:50:36] &gt; *[Spec]Banderas &gt; Ryszard
[23.10.2016 | 17:52:26] &gt; [Mute]kretyn &gt; [PSR]wiktor957[FBI]: slowa [8 min.]
[23.10.2016 | 17:54:16] &gt; *[Spec]cR34tive &gt; [PTS]Zielonyy
[23.10.2016 | 17:54:19] &gt; *[Spec][PTS]FeasT &gt; [PTS]Zielonyy
[23.10.2016 | 17:58:20] &gt; *[Spec]Banderas &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:21] &gt; *[Spec]Ryszard &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:22] &gt; *[Spec][PTS]FeasT &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:28] &gt; *[Spec]Banderas &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:31] &gt; *[Spec]cR34tive &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:32] &gt; *[Spec]Banderas &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:38] &gt; *[Spec]cR34tive &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:43] &gt; *[Spec]zidan &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:44] &gt; *[Spec]kretyn &gt; [PTS]Kreciolek
[23.10.2016 | 17:58:46] &gt; [Jail]kretyn &gt; [PTS]Kreciolek: Kradziez [3 min.]
[23.10.2016 | 17:58:46] &gt; *[Spec][PTS]FeasT &gt; [PTS]Kreciolek
[23.10.2016 | 17:59:34] &gt; [Mute]Banderas &gt; [PTS]Rastax: flood [5 min.]
[23.10.2016 | 17:59:43] &gt; [Mute]redspray &gt; [PTS]Kreciolek: flood [5 min.]
[23.10.2016 | 18:00:39] &gt; *[Spec]kretyn &gt; M4ssur
[23.10.2016 | 18:00:51] &gt; *[Spec]redspray &gt; M4ssur
[23.10.2016 | 18:01:13] &gt; *[Spec]cR34tive &gt; Rozmowca
[23.10.2016 | 18:02:02] &gt; [Mute][PTS]FeasT &gt; [PTS]mad: flood [5 min.]
[23.10.2016 | 18:07:11] &gt; [Mute]cR34tive &gt; xNathanek1337: caps [3 min.]
[23.10.2016 | 18:07:59] &gt; *[Spec]cR34tive &gt; Odys_Salvador
[23.10.2016 | 18:08:53] &gt; *[Spec]cR34tive &gt; DariuszBiceps
[23.10.2016 | 18:08:53] &gt; *[Spec]Ryszard &gt; DariuszBiceps
[23.10.2016 | 18:08:53] &gt; *[Spec][PTS]FeasT &gt; DariuszBiceps
[23.10.2016 | 18:08:56] &gt; *[Spec]cR34tive &gt; DariuszBiceps
[23.10.2016 | 18:08:57] &gt; *[Spec]kretyn &gt; DariuszBiceps
[23.10.2016 | 18:08:59] &gt; *[Spec]cR34tive &gt; [PTS]DreSik[RoD]
[23.10.2016 | 18:09:00] &gt; *[Spec]Banderas &gt; HooDinI
[23.10.2016 | 18:09:02] &gt; *[Spec]cR34tive &gt; DariuszBiceps
[23.10.2016 | 18:09:03] &gt; *[Spec]Banderas &gt; DariuszBiceps
[23.10.2016 | 18:09:04] &gt; *[Spec]zidan &gt; DariuszBiceps
[23.10.2016 | 18:16:49] &gt; [Mute][PTS]FeasT &gt; SkanOH: flood [5 min.]
[23.10.2016 | 18:18:58] &gt; *[Spec]Banderas &gt; [PTS]Rarson
[23.10.2016 | 18:18:59] &gt; *[Spec]S0L1D3R &gt; [PTS]Rarson
[23.10.2016 | 18:19:00] &gt; *[Spec][PTS]Skun &gt; [PTS]Rarson
[23.10.2016 | 18:19:00] &gt; *[Spec][PTS]FeasT &gt; [PTS]Rarson
[23.10.2016 | 18:19:04] &gt; [Akt]kretyn &gt; Borysovsky: 15 [495]
[23.10.2016 | 18:19:05] &gt; [Wydl]kretyn &gt; Borysovsky: 30 [52]
[23.10.2016 | 18:19:09] &gt; [Wydl]kretyn &gt; Borysovsky: 31 [52]
[23.10.2016 | 18:20:16] &gt; *[Spec][PTS]Skun &gt; Mark_Markowski
[23.10.2016 | 18:23:15] &gt; Kick: S0L1D3R &gt; Shadow656: lag
[23.10.2016 | 18:23:57] &gt; *[Spec][PTS]Skun &gt; derax
[23.10.2016 | 18:25:35] &gt; [Akt]redspray &gt; [NGS]Zed: 15 [488]
[23.10.2016 | 18:27:27] &gt; *[Spec]kretyn &gt; keczupx
[23.10.2016 | 18:27:28] &gt; *[Spec][PTS]FeasT &gt; keczupx
[23.10.2016 | 18:27:29] &gt; *[Spec]S0L1D3R &gt; keczupx
[23.10.2016 | 18:27:29] &gt; *[Spec][PTS]Skun &gt; keczupx
[23.10.2016 | 18:27:36] &gt; *[Spec]S0L1D3R &gt; keczupx
[23.10.2016 | 18:27:36] &gt; Kick: kretyn &gt; keczupx: lag
[23.10.2016 | 18:28:39] &gt; [Mute][PTS]FeasT &gt; [PTS]Nej: caps off [3 min.]
[23.10.2016 | 18:30:01] &gt; *[Spec]S0L1D3R &gt; KudlaczeQ
[23.10.2016 | 18:30:03] &gt; [Jail]S0L1D3R &gt; KudlaczeQ: Deatch Match (Bicie) [5 min.]
[23.10.2016 | 18:31:28] &gt; *[Spec][PTS]Skun &gt; Borysovsky
[23.10.2016 | 18:36:07] &gt; VIP[RLG]: adek1012 &gt; adek1012
[23.10.2016 | 18:40:46] &gt; *[Spec][PTS]FeasT &gt; fr03ef_
[23.10.2016 | 18:41:17] &gt; *[Spec][PTS]FeasT &gt; SzWaGiEr
[23.10.2016 | 18:41:18] &gt; [Jail]redspray &gt; Radziollz: utrudniasz prace frakcji [5 min.]
[23.10.2016 | 18:41:18] &gt; *[Spec]S0L1D3R &gt; SzWaGiEr
[23.10.2016 | 18:41:18] &gt; *[Spec]adek1012 &gt; SzWaGiEr
[23.10.2016 | 18:42:03] &gt; *[Spec]adek1012 &gt; SzWaGiEr
[23.10.2016 | 18:43:02] &gt; *[Spec]cR34tive &gt; fr03ef_
[23.10.2016 | 18:43:25] &gt; *[Spec][PTS]Skun &gt; fr03ef_
[23.10.2016 | 18:43:25] &gt; *[Spec]redspray &gt; fr03ef_
[23.10.2016 | 18:45:15] &gt; *[Spec][PTS]FeasT &gt; Mark_Markowski
[23.10.2016 | 18:45:20] &gt; [Jail][PTS]FeasT &gt; Mark_Markowski: Kradziez [3 min.]
[23.10.2016 | 18:45:37] &gt; [Jail]redspray &gt; SkanOH: taranujesz [5 min.]
[23.10.2016 | 18:47:22] &gt; [Mute]adek1012 &gt; Perszing: flood [5 min.]
[23.10.2016 | 18:48:41] &gt; *[Spec]cR34tive &gt; Odys_Salvador
[23.10.2016 | 18:49:22] &gt; [Mute][PTS]FeasT &gt; [PTS]DreSik[RoD]: flood [5 min.]
[23.10.2016 | 18:49:26] &gt; 
[23.10.2016 | 18:49:26] Niewidzialnosc!: redspray
[23.10.2016 | 18:50:28] &gt; [Mute]adek1012 &gt; Borysovsky: caps [3 min.]
[23.10.2016 | 18:50:42] &gt; Kick: [PTS]FeasT &gt; [PTS]Exterminator020: lag
[23.10.2016 | 18:51:08] &gt; *[Spec]cR34tive &gt; AliaX.
[23.10.2016 | 18:51:43] &gt; [MuteOff]: kretyn &gt; james007: [480 sek.]
[23.10.2016 | 18:52:06] &gt; [Mute][PTS]FeasT &gt; AliaX.: obraza [8 min.]
[23.10.2016 | 18:54:33] &gt; *[Spec][PTS]FeasT &gt; [PTS]Exterminator020
[23.10.2016 | 18:58:10] &gt; [Mute][PTS]FeasT &gt; Maniek924[CZT]: caps off [3 min.]
[23.10.2016 | 18:59:52] &gt; *[Spec]S0L1D3R &gt; Sony_Montega
[23.10.2016 | 18:59:53] &gt; *[Spec]Banderas &gt; Sony_Montega
[23.10.2016 | 19:00:07] &gt; *[Spec]Banderas &gt; Sony_Montega
[23.10.2016 | 19:08:30] &gt; *[Spec]kretyn &gt; [PTS]Exterminator020
[23.10.2016 | 19:08:36] &gt; *[Spec][PTS]Skun &gt; [PTS]Exterminator020
[23.10.2016 | 19:09:15] &gt; [Mute]kretyn &gt; [PTS]DreSik[RoD]: flod [5 min.]
[23.10.2016 | 19:09:26] &gt; *[Spec]kretyn &gt; MrGracjanPL
[23.10.2016 | 19:09:28] &gt; *[Spec][PTS]Skun &gt; MrGracjanPL
[23.10.2016 | 19:09:30] &gt; *[Spec]S0L1D3R &gt; MrGracjanPL
[23.10.2016 | 19:10:29] &gt; *[Spec]kretyn &gt; Lotabil
[23.10.2016 | 19:12:11] &gt; 
[23.10.2016 | 19:12:11] LOADPOS: Banderas
[23.10.2016 | 19:12:58] &gt; [Teleport]M4ssur: Banderas <do> kretyn
[23.10.2016 | 19:13:03] &gt; [Mute][PTS]Skun &gt; 13kot: Wulgi  [8 min.]
[23.10.2016 | 19:13:05] &gt; *[Spec][PTS]FeasT &gt; Forest
[23.10.2016 | 19:13:05] &gt; *[Spec]Banderas &gt; Forest
[23.10.2016 | 19:13:07] &gt; *[Spec]S0L1D3R &gt; Forest
[23.10.2016 | 19:13:09] &gt; [Jail]Banderas &gt; Forest: Kradziez [3 min.]
[23.10.2016 | 19:14:58] &gt; *[Spec]S0L1D3R &gt; Banderas
[23.10.2016 | 19:21:20] &gt; *[Spec][PTS]Skun &gt; Borysovsky
[23.10.2016 | 19:21:21] &gt; *[Spec]S0L1D3R &gt; Borysovsky
[23.10.2016 | 19:21:22] &gt; *[Spec]Banderas &gt; Borysovsky
[23.10.2016 | 19:21:29] &gt; *[Spec]Banderas &gt; Borysovsky
[23.10.2016 | 19:21:30] &gt; *[Spec]Ryszard &gt; Borysovsky
[23.10.2016 | 19:22:18] &gt; *[Spec]S0L1D3R &gt; [PTS]Exterminator020
[23.10.2016 | 19:22:18] &gt; *[Spec]Banderas &gt; [PTS]Exterminator020
[23.10.2016 | 19:22:26] &gt; *[Spec]S0L1D3R &gt; [PTS]Exterminator020
[23.10.2016 | 19:34:50] &gt; *[Spec]Banderas &gt; Sky_90
[23.10.2016 | 19:36:08] &gt; [RSP]kretyn
[23.10.2016 | 19:37:40] &gt; *[Spec]Ryszard &gt; Thorche
[23.10.2016 | 19:38:13] &gt; [Teleport]redspray: redspray <do> kretyn
[23.10.2016 | 19:38:52] &gt; [Zmiana uprawnien]: redspray &gt; kretyn - 3
[23.10.2016 | 19:40:12] &gt; *[Spec]S0L1D3R &gt; SzWaGiEr
[23.10.2016 | 19:40:12] &gt; *[Spec][CK]Ciapek330 &gt; SzWaGiEr
[23.10.2016 | 19:40:13] &gt; *[Spec][PTS]Skun &gt; SzWaGiEr
[23.10.2016 | 19:40:16] &gt; [Jail][CK]Ciapek330 &gt; SzWaGiEr: Kradziez [3 min.]
[23.10.2016 | 19:41:30] &gt; 
[23.10.2016 | 19:41:30] LOADPOS: S0L1D3R
[23.10.2016 | 19:41:57] &gt; *[Spec][PTS]Skun &gt; Borysovsky
[23.10.2016 | 19:42:01] &gt; *[Spec]kretyn &gt; Borysovsky
[23.10.2016 | 19:42:03] &gt; *[Spec]Ryszard &gt; Borysovsky
[23.10.2016 | 19:42:03] &gt; *[Spec]S0L1D3R &gt; Borysovsky
[23.10.2016 | 19:42:07] &gt; *[Spec]S0L1D3R &gt; Borysovsky
[23.10.2016 | 19:42:28] &gt; [UB-IP][PTS]Skun &gt; 37.248.0.90
[23.10.2016 | 19:42:55] &gt; [UB][PTS]Skun &gt; Kacpereqq69
[23.10.2016 | 19:43:13] &gt; 
[23.10.2016 | 19:43:13] LOADPOS: kretyn
[23.10.2016 | 19:43:20] &gt; 
[23.10.2016 | 19:43:20] LOADPOS: kretyn
[23.10.2016 | 19:43:25] &gt; 
[23.10.2016 | 19:43:25] LOADPOS: redspray
[23.10.2016 | 19:45:13] &gt; *[Spec]Ryszard &gt; [PTS]DreSik[RoD]
[23.10.2016 | 19:45:14] &gt; *[Spec][CK]Ciapek330 &gt; [PTS]DreSik[RoD]
[23.10.2016 | 19:45:45] &gt; *[Spec]Ryszard &gt; keczupx
[23.10.2016 | 19:45:47] &gt; *[Spec]S0L1D3R &gt; keczupx
[23.10.2016 | 19:45:56] &gt; *[Spec][CK]Ciapek330 &gt; keczupx
[23.10.2016 | 19:46:06] &gt; *[Spec]S0L1D3R &gt; [PSZ]PresentPietrek
[23.10.2016 | 19:46:09] &gt; *[Spec]Ryszard &gt; keczupx
[23.10.2016 | 19:46:10] &gt; *[Spec]S0L1D3R &gt; keczupx
[23.10.2016 | 19:46:13] &gt; *[Spec]Ryszard &gt; keczupx
[23.10.2016 | 19:46:16] &gt; *[Spec]Ryszard &gt; keczupx
[23.10.2016 | 19:46:25] &gt; [Jail]Ryszard &gt; keczupx: CK (Zabijanie autem) [5 min.]
[23.10.2016 | 19:46:27] &gt; [BLCMD]redspray &gt; [PSZ]PresentPietrek: spam [5 min.]
[23.10.2016 | 19:47:05] &gt; [Pogoda]redspray &gt; 0
[23.10.2016 | 19:47:35] &gt; *[Spec]kretyn &gt; SzWaGiEr
[23.10.2016 | 19:47:35] &gt; *[Spec]Ryszard &gt; SzWaGiEr
[23.10.2016 | 19:47:38] &gt; [Jail]kretyn &gt; SzWaGiEr: Kradziez [3 min.]
[23.10.2016 | 19:49:13] &gt; [Zmiana uprawnien]: redspray &gt; kretyn - 5
[23.10.2016 | 19:50:39] &gt; [Zmiana uprawnien]: redspray &gt; Lotabil - 3
[23.10.2016 | 19:50:44] &gt; [Zmiana rangi]: redspray &gt; Lotabil - {AD0094}Operator
[23.10.2016 | 19:53:41] &gt; [Mute]redspray &gt; [PTS]Zielonyy: slowa [8 min.]
[23.10.2016 | 19:58:28] &gt; *[Spec]Ryszard &gt; Pomaranczka
[23.10.2016 | 19:58:40] &gt; [Mute]kretyn &gt; Pomaranczka: flood [5 min.]
[23.10.2016 | 20:00:50] &gt; [Mute]kretyn &gt; Rozmowca: caps [3 min.]
[23.10.2016 | 20:05:59] &gt; *[Spec]S0L1D3R &gt; anDRUCIK
[23.10.2016 | 20:07:06] &gt; 
[23.10.2016 | 20:7:6] Niewidzialnosc!: Matka[CK]
[23.10.2016 | 20:11:02] &gt; [Mute]kretyn &gt; Tomos: caps [3 min.]
[23.10.2016 | 20:12:22] &gt; *[Spec]redspray &gt; BOT
[23.10.2016 | 20:13:09] &gt; [Mute]redspray &gt; SexLalunia: caps [3 min.]
[23.10.2016 | 20:15:10] &gt; [Mute][PTS]Skun &gt; Ro[L]ciA: caps [3 min.]
[23.10.2016 | 20:15:48] &gt; [Mute][PTS]Skun &gt; Kacpereqq69: caps [3 min.]
[23.10.2016 | 20:16:01] &gt; [Mute][PTS]Skun &gt; Borysovsky: caps [3 min.]
[23.10.2016 | 20:18:50] &gt; *[Spec][PTS]Skun &gt; Borysovsky
[23.10.2016 | 20:19:00] &gt; *[Spec][PTS]Skun &gt; Julka
[23.10.2016 | 20:19:06] &gt; *[Spec][PTS]Skun &gt; Borysovsky
[23.10.2016 | 20:19:08] &gt; [Jail][PTS]Skun &gt; Borysovsky: CK (Zabijanie autem) [5 min.]
[23.10.2016 | 20:19:23] &gt; *[Spec][PTS]Skun &gt; Borysovsky
[23.10.2016 | 20:21:29] &gt; [Zmiana rangi]: Ludwik &gt; Matka[CK] - {FF9529}Gracz
[23.10.2016 | 20:21:53] &gt; Black List: Ludwik &gt; hitman_agent: Dzialanie na szkode PTS [31.1.92.172]
[23.10.2016 | 20:25:07] &gt; [Zmiana uprawnien]: Ludwik &gt; Matka[CK] - 0
[23.10.2016 | 20:27:30] &gt; *[Spec][PTS]Skun &gt; HooDinI
[23.10.2016 | 20:27:32] &gt; *[Spec]S0L1D3R &gt; HooDinI
[23.10.2016 | 20:28:04] &gt; *[Spec]S0L1D3R &gt; Rozowa[Panterka]
[23.10.2016 | 20:28:04] &gt; *[Spec][PTS]Skun &gt; Rozowa[Panterka]
[23.10.2016 | 20:30:23] &gt; 
[23.10.2016 | 20:30:23] LOADPOS: Podhaj
[23.10.2016 | 20:36:18] &gt; Black List: Ludwik &gt; [PTS]Krasz: Dzialanie na szkode pts []
[23.10.2016 | 20:36:26] &gt; [UB]Ludwik &gt; [PTS]Krasz</do></do></p></body></html>
